,,,,,,,,,,,
CMS,,,,,,,,,,,
Weekly NADAC Reference File as of 12/25/2013,,,,,,,,,,,
NDC Description,NDC,"NADAC
Per Unit","Effective
Date","Pricing
Unit","Pharmacy
Type
Indicator",OTC,"Explanation
Code","Classification
for Rate
Setting","Corresponding
Generic Drug
NADAC
Per Unit","Corresponding
Generic Drug
Effective
Date",
LYSTEDA 650 MG TABLET,55566210002,4.68938,11/21/2013,EA,C/I,N,2,B,3.71027,12/18/2013,
LYZA 0.35 MG TABLET,50102010001,0.58427,12/18/2013,EA,C/I,N,1,G,,,
LYZA 0.35 MG TABLET,50102010048,0.58427,12/18/2013,EA,C/I,N,1,G,,,
M-END DM SYRUP,12830081016,0.05440,10/24/2013,ML,C/I,Y,"4, 5",G,,,
M-END PE LIQUID,12830075412,0.05185,11/21/2013,ML,C/I,N,"4, 5",G,,,
M-END WC LIQUID,12830073516,0.04488,11/21/2013,ML,C/I,N,"4, 5",G,,,
MAALOX ADVANCED TAB CHEW,00067627935,0.05893,07/18/2013,EA,C/I,Y,"4, 6",B,,,
MAALOX ADVANCED TAB CHEW,00067627965,0.05893,07/18/2013,EA,C/I,Y,"4, 6",B,,,
MAALOX ADVANCED TAB CHEW,00067627990,0.05893,07/18/2013,EA,C/I,Y,"4, 6",B,,,
MAALOX ADVANCED TAB CHEW,00067629165,0.05893,07/18/2013,EA,C/I,Y,"4, 6",B,,,
MAALOX MAX QUICK DISSOLVE T,00067021965,0.05893,07/18/2013,EA,C/I,Y,"4, 6",B,,,
MAG DELAY 64 MG TABLET,00904791152,0.08645,12/18/2013,EA,C/I,Y,1,G,,,
MAGNESIUM CITRATE SOLUTION,00904604377,0.00405,12/18/2013,ML,C/I,Y,"1, 5",G,,,
MAGNESIUM CITRATE SOLUTION,00904630477,0.00405,12/18/2013,ML,C/I,Y,"1, 5",G,,,
MAGNESIUM CITRATE SOLUTION,24385060010,0.00460,07/18/2013,ML,C/I,Y,"4, 5",G,,,
MAGNESIUM CITRATE SOLUTION,24385091010,0.00460,07/18/2013,ML,C/I,Y,"4, 5",G,,,
MAGNESIUM OXIDE 400 MG TABLET,00603020922,0.02796,12/18/2013,EA,C/I,Y,1,G,,,
MAGNESIUM OXIDE 400 MG TABLET,00904531118,0.02796,12/18/2013,EA,C/I,Y,1,G,,,
MAGNESIUM OXIDE 400 MG TABLET,51645078508,0.02796,12/18/2013,EA,C/I,Y,1,G,,,
MAGNESIUM OXIDE 400 MG TABLET,63739035401,0.02796,12/18/2013,EA,C/I,Y,1,G,,,
MAGNESIUM OXIDE 400 MG TABLET,63739035410,0.02796,12/18/2013,EA,C/I,Y,1,G,,,
MAGNESIUM OXIDE 400 MG TABLET,76439021712,0.02796,12/18/2013,EA,C/I,Y,1,G,,,
MALARONE 250-100 MG TABLET,00173067501,6.75618,07/18/2013,EA,C/I,N,4,B,5.52802,12/18/2013,
MALARONE 250-100 MG TABLET,00173067502,6.75618,07/18/2013,EA,C/I,N,4,B,5.52802,12/18/2013,
MALATHION 0.5% LOTION,51672527704,2.53141,12/18/2013,ML,C/I,N,"1, 5, 6",G,,,
MAPAP 160 MG/5 ML ELIXIR,00904198516,0.00688,12/18/2013,ML,C/I,Y,"1, 5",G,,,
MAPAP 160 MG/5 ML ELIXIR,00904198500,0.01098,12/18/2013,ML,C/I,Y,"1, 5",G,,,
MAPAP 160 MG/5 ML ELIXIR,00904198520,0.01098,12/18/2013,ML,C/I,Y,"1, 5",G,,,
MAPAP 160 MG/5 ML SUSPENSION,00904511620,0.02148,12/18/2013,ML,C/I,Y,"1, 5",G,,,
MAPAP 160 MG/5 ML SUSPENSION,00904630820,0.02148,12/18/2013,ML,C/I,Y,"1, 5",G,,,
MAPAP 325 MG TABLET,00904198202,0.01051,12/18/2013,EA,C/I,Y,1,G,,,
MAPAP 325 MG TABLET,00904198251,0.01051,12/18/2013,EA,C/I,Y,1,G,,,
MAPAP 325 MG TABLET,00904198259,0.01051,12/18/2013,EA,C/I,Y,1,G,,,
MAPAP 325 MG TABLET,00904198260,0.01051,12/18/2013,EA,C/I,Y,1,G,,,
MAPAP 325 MG TABLET,00904198261,0.01051,12/18/2013,EA,C/I,Y,1,G,,,
MAPAP 325 MG TABLET,00904198280,0.01051,12/18/2013,EA,C/I,Y,1,G,,,
MAPAP 500 MG CAPLET,00904198324,0.02188,12/18/2013,EA,C/I,Y,1,G,,,
MAPAP 500 MG CAPLET,00904198340,0.02188,12/18/2013,EA,C/I,Y,1,G,,,
MAPAP 500 MG CAPLET,00904198351,0.02188,12/18/2013,EA,C/I,Y,1,G,,,
MAPAP 500 MG CAPLET,00904198359,0.02188,12/18/2013,EA,C/I,Y,1,G,,,
MAPAP 500 MG CAPLET,00904198380,0.02188,12/18/2013,EA,C/I,Y,1,G,,,
MAPAP 500 MG CAPLET,00904198394,0.02188,12/18/2013,EA,C/I,Y,1,G,,,
MAPAP 500 MG CAPSULE,00904198760,0.03619,12/18/2013,EA,C/I,Y,1,G,,,
MAPAP 500 MG CAPSULE,00904198780,0.03619,12/18/2013,EA,C/I,Y,1,G,,,
MAPAP 500 MG GELCAP,00904581651,0.02188,12/18/2013,EA,C/I,Y,1,G,,,
MAPAP 500 MG GELCAP,00904581660,0.02188,12/18/2013,EA,C/I,Y,1,G,,,
MAPAP 500 MG TABLET,00904198859,0.02188,12/18/2013,EA,C/I,Y,1,G,,,
MAPAP 500 MG TABLET,00904198860,0.02188,12/18/2013,EA,C/I,Y,1,G,,,
MAPAP 500 MG TABLET,00904198861,0.02188,12/18/2013,EA,C/I,Y,1,G,,,
MAPAP 500 MG TABLET,00904198880,0.02188,12/18/2013,EA,C/I,Y,1,G,,,
MAPAP 500 MG/15 ML LIQUID,00904584709,0.01317,08/22/2013,ML,C/I,Y,"4, 5",G,,,
MAPAP 80 MG TABLET CHEW,00904525646,0.03833,12/18/2013,EA,C/I,Y,1,G,,,
MAPAP ARTHRITIS ER 650 MG CPLT,00904576960,0.06192,12/18/2013,EA,C/I,Y,1,G,,,
MAPAP COLD FORMULA CAPLET,00904578624,0.07287,10/24/2013,EA,C/I,Y,4,G,,,
MAPAP PM CAPLET,00904765151,0.04162,12/18/2013,EA,C/I,Y,1,G,,,
MAPAP SINUS CAPLET,00904578324,0.06398,12/18/2013,EA,C/I,Y,1,G,,,
MAR-COF BP LIQUID,00682048016,0.08615,04/18/2013,ML,C/I,N,"4, 5",G,,,
MARGESIC CAPSULE,00682080401,0.55936,09/19/2013,EA,C/I,N,4,G,,,
MARLISSA-28 TABLET,68462038829,0.55501,12/18/2013,EA,C/I,N,1,G,,,
MASANTI LIQUID,24385034040,0.00673,12/18/2013,ML,C/I,Y,"1, 5",G,,,
MATZIM LA 180 MG TABLET,52544069119,2.27391,12/18/2013,EA,C/I,N,1,G,,,
MATZIM LA 180 MG TABLET,52544069130,2.27391,12/18/2013,EA,C/I,N,1,G,,,
MATZIM LA 240 MG TABLET,52544069219,2.63016,12/18/2013,EA,C/I,N,1,G,,,
MATZIM LA 240 MG TABLET,52544069230,2.63016,12/18/2013,EA,C/I,N,1,G,,,
MATZIM LA 300 MG TABLET,52544069319,3.32938,12/18/2013,EA,C/I,N,1,G,,,
MATZIM LA 300 MG TABLET,52544069330,3.32938,12/18/2013,EA,C/I,N,1,G,,,
MATZIM LA 360 MG TABLET,52544069419,3.64874,12/18/2013,EA,C/I,N,1,G,,,
MATZIM LA 360 MG TABLET,52544069430,3.64874,12/18/2013,EA,C/I,N,1,G,,,
MATZIM LA 420 MG TABLET,52544069519,3.76978,12/18/2013,EA,C/I,N,1,G,,,
MATZIM LA 420 MG TABLET,52544069530,3.76978,12/18/2013,EA,C/I,N,1,G,,,
MAVIK 4 MG TABLET,00074228013,1.56250,04/18/2013,EA,C/I,N,4,B,0.29462,12/18/2013,
MAXAIR AUTOHALER 0.2 MG AERO,99207028040,43.15455,11/01/2013,GM,C/I,N,"2, 5",B,,,
MAXALT 10 MG TABLET,00006026718,33.22639,09/26/2013,EA,C/I,N,2,B,1.52917,12/18/2013,
MAXALT 5 MG TABLET,00006026618,33.41211,09/26/2013,EA,C/I,N,4,B,1.52373,12/18/2013,
MAXALT MLT 10 MG TABLET,00006380118,33.28178,09/26/2013,EA,C/I,N,2,B,4.28334,12/18/2013,
MAXALT MLT 5 MG TABLET,00006380018,32.13255,10/24/2013,EA,C/I,N,4,B,5.76091,12/18/2013,
"MAXIMUM D3 10,000 UNITS CAP",66594099905,0.67189,12/18/2013,EA,C/I,Y,1,G,,,
MAXIPHEN TABLET,58605042201,0.07714,12/18/2013,EA,C/I,Y,1,G,,,
MAXZIDE 37.5 MG-25 MG TABLET,00378046401,1.28206,09/19/2013,EA,C/I,N,4,B,0.17337,12/18/2013,
MAXZIDE 75 MG-50 MG TABLET,00378046001,2.94052,07/02/2013,EA,C/I,N,4,B,0.19966,12/18/2013,
MECLIZINE 12.5 MG TABLET,00536398501,0.02954,12/18/2013,EA,C/I,Y,1,G,,,
MECLIZINE 12.5 MG TABLET,00536398510,0.02954,12/18/2013,EA,C/I,Y,1,G,,,
MECLIZINE 12.5 MG TABLET,00781134501,0.02954,12/18/2013,EA,C/I,Y,1,G,,,
MECLIZINE 12.5 MG TABLET,00378548510,0.23050,12/18/2013,EA,C/I,N,1,G,,,
MECLIZINE 12.5 MG TABLET,00378548577,0.23050,12/18/2013,EA,C/I,N,1,G,,,
MECLIZINE 12.5 MG TABLET,49884003401,0.23050,12/18/2013,EA,C/I,N,1,G,,,
MECLIZINE 12.5 MG TABLET,49884003410,0.23050,12/18/2013,EA,C/I,N,1,G,,,
MECLIZINE 12.5 MG TABLET,51079008901,0.23050,12/18/2013,EA,C/I,N,1,G,,,
MECLIZINE 12.5 MG TABLET,51079008920,0.23050,12/18/2013,EA,C/I,N,1,G,,,
MECLIZINE 12.5 MG TABLET,59746012206,0.23050,12/18/2013,EA,C/I,N,1,G,,,
MECLIZINE 12.5 MG TABLET,59746012210,0.23050,12/18/2013,EA,C/I,N,1,G,,,
MECLIZINE 12.5 MG TABLET,65162044110,0.23050,12/18/2013,EA,C/I,N,1,G,,,
MECLIZINE 12.5 MG TABLET,65162044111,0.23050,12/18/2013,EA,C/I,N,1,G,,,
MECLIZINE 12.5 MG TABLET,65162044150,0.23050,12/18/2013,EA,C/I,N,1,G,,,
MECLIZINE 12.5 MG TABLET,68084049001,0.23050,12/18/2013,EA,C/I,N,1,G,,,
MECLIZINE 25 MG TABLET,00781137501,0.13563,12/18/2013,EA,C/I,Y,1,G,,,
MECLIZINE 25 MG TABLET,10267269101,0.13563,12/18/2013,EA,C/I,Y,1,G,,,
MECLIZINE 25 MG TABLET,00378548610,0.25300,12/18/2013,EA,C/I,N,1,G,,,
MECLIZINE 25 MG TABLET,00378548677,0.25300,12/18/2013,EA,C/I,N,1,G,,,
MECLIZINE 25 MG TABLET,49884003501,0.25300,12/18/2013,EA,C/I,N,1,G,,,
MECLIZINE 25 MG TABLET,49884003510,0.25300,12/18/2013,EA,C/I,N,1,G,,,
MECLIZINE 25 MG TABLET,51079009001,0.25300,12/18/2013,EA,C/I,N,1,G,,,
MECLIZINE 25 MG TABLET,51079009020,0.25300,12/18/2013,EA,C/I,N,1,G,,,
MECLIZINE 25 MG TABLET,59746012106,0.25300,12/18/2013,EA,C/I,N,1,G,,,
MECLIZINE 25 MG TABLET,59746012110,0.25300,12/18/2013,EA,C/I,N,1,G,,,
MECLIZINE 25 MG TABLET,65162044210,0.25300,12/18/2013,EA,C/I,N,1,G,,,
MECLIZINE 25 MG TABLET,65162044211,0.25300,12/18/2013,EA,C/I,N,1,G,,,
MECLIZINE 25 MG TABLET,65162044250,0.25300,12/18/2013,EA,C/I,N,1,G,,,
MECLIZINE 25 MG TABLET,68084049101,0.25300,12/18/2013,EA,C/I,N,1,G,,,
MECLIZINE 25 MG TABLET CHEW,00536399001,0.03012,12/18/2013,EA,C/I,Y,1,G,,,
MECLOFENAMATE 100 MG CAPSULE,00378300001,4.19028,05/23/2013,EA,C/I,N,4,G,,,
MEDI PADS,00904505960,0.02510,12/18/2013,EA,C/I,Y,"1, 5",G,,,
MEDI-PHEDRYL 25 MG CAPSULE,49614046262,0.03065,12/18/2013,EA,C/I,Y,1,G,,,
MEDI-PHEDRYL 25 MG CAPSULE,49614046278,0.03065,12/18/2013,EA,C/I,Y,1,G,,,
MEDROL 2 MG TABLET,00009002001,0.75379,12/11/2013,EA,C/I,N,"4, 6",B,,,
MEDROL 2 MG TABLET,00009004902,0.75379,07/01/2013,EA,C/I,N,4,B,,,
MEDROL 4 MG DOSEPAK,00009005604,1.42604,07/01/2013,EA,C/I,N,2,B,0.81079,12/18/2013,
MEDROXYPROGESTERONE 10 MG TAB,00555077902,0.06836,12/18/2013,EA,C/I,N,1,G,,,
MEDROXYPROGESTERONE 10 MG TAB,00555077904,0.06836,12/18/2013,EA,C/I,N,1,G,,,
MEDROXYPROGESTERONE 10 MG TAB,59762374202,0.06836,12/18/2013,EA,C/I,N,"1, 6",G,,,
MEDROXYPROGESTERONE 10 MG TAB,59762374208,0.06836,12/18/2013,EA,C/I,N,"1, 6",G,,,
MEDROXYPROGESTERONE 150 MG/ML,00703680101,40.41305,12/18/2013,ML,C/I,N,"1, 5",G,,,
MEDROXYPROGESTERONE 150 MG/ML,59762453701,40.41305,12/18/2013,ML,C/I,N,"1, 5, 6",G,,,
MEDROXYPROGESTERONE 150 MG/ML,59762453802,49.63758,12/18/2013,ML,C/I,N,"1, 5, 6",G,,,
MEDROXYPROGESTERONE 150 MG/ML,59762453809,49.63758,12/18/2013,ML,C/I,N,"1, 5, 6",G,,,
MEDROXYPROGESTERONE 2.5 MG TAB,00555087202,0.06342,12/18/2013,EA,C/I,N,1,G,,,
MEDROXYPROGESTERONE 2.5 MG TAB,00555087204,0.06342,12/18/2013,EA,C/I,N,1,G,,,
MEDROXYPROGESTERONE 2.5 MG TAB,59762374001,0.06342,12/18/2013,EA,C/I,N,"1, 6",G,,,
MEDROXYPROGESTERONE 2.5 MG TAB,59762374005,0.06342,12/18/2013,EA,C/I,N,"1, 6",G,,,
MEDROXYPROGESTERONE 2.5 MG TAB,68084055321,0.06342,12/18/2013,EA,C/I,N,1,G,,,
MEDROXYPROGESTERONE 5 MG TAB,00555087302,0.06807,12/18/2013,EA,C/I,N,1,G,,,
MEDROXYPROGESTERONE 5 MG TAB,00555087304,0.06807,12/18/2013,EA,C/I,N,1,G,,,
MEDROXYPROGESTERONE 5 MG TAB,59762374101,0.06807,12/18/2013,EA,C/I,N,"1, 6",G,,,
MEDROXYPROGESTERONE 5 MG TAB,59762374104,0.06807,12/18/2013,EA,C/I,N,"1, 6",G,,,
MEFENAMIC ACID 250 MG CAPSULE,00574019530,10.60687,12/18/2013,EA,C/I,N,1,G,,,
MEFENAMIC ACID 250 MG CAPSULE,66993007030,10.60687,12/18/2013,EA,C/I,N,"1, 6",G,,,
MEFENAMIC ACID 250 MG CAPSULE,68180018506,10.60687,12/18/2013,EA,C/I,N,1,G,,,
MEFLOQUINE HCL 250 MG TABLET,00054002511,4.70005,12/18/2013,EA,C/I,N,1,G,,,
MEFLOQUINE HCL 250 MG TABLET,00143128222,4.70005,12/18/2013,EA,C/I,N,1,G,,,
MEFLOQUINE HCL 250 MG TABLET,00555017178,4.70005,12/18/2013,EA,C/I,N,1,G,,,
MEFLOQUINE HCL 250 MG TABLET,00781507686,4.70005,12/18/2013,EA,C/I,N,1,G,,,
MEGACE ES 625 MG/5 ML SUSP,49884094969,4.48980,04/29/2013,ML,C/I,N,"2, 5",B,,,
MEGESTROL 20 MG TABLET,00054460325,0.11269,12/18/2013,EA,C/I,N,1,G,,,
MEGESTROL 20 MG TABLET,00054860325,0.11269,12/18/2013,EA,C/I,N,1,G,,,
MEGESTROL 20 MG TABLET,00555060602,0.11269,12/18/2013,EA,C/I,N,1,G,,,
MEGESTROL 20 MG TABLET,49884028901,0.11269,12/18/2013,EA,C/I,N,1,G,,,
MEGESTROL 20 MG TABLET,51079043401,0.11269,12/18/2013,EA,C/I,N,1,G,,,
MEGESTROL 20 MG TABLET,51079043420,0.11269,12/18/2013,EA,C/I,N,1,G,,,
MEGESTROL 40 MG TABLET,00054460425,0.17410,12/18/2013,EA,C/I,N,1,G,,,
MEGESTROL 40 MG TABLET,00054860425,0.17410,12/18/2013,EA,C/I,N,1,G,,,
MEGESTROL 40 MG TABLET,00555060702,0.17410,12/18/2013,EA,C/I,N,1,G,,,
MEGESTROL 40 MG TABLET,00555060704,0.17410,12/18/2013,EA,C/I,N,1,G,,,
MEGESTROL 40 MG TABLET,00904357161,0.17410,12/18/2013,EA,C/I,N,1,G,,,
MEGESTROL 40 MG TABLET,49884029001,0.17410,12/18/2013,EA,C/I,N,1,G,,,
MEGESTROL 40 MG TABLET,49884029004,0.17410,12/18/2013,EA,C/I,N,1,G,,,
MEGESTROL 40 MG TABLET,49884029005,0.17410,12/18/2013,EA,C/I,N,1,G,,,
MEGESTROL 40 MG TABLET,51079043501,0.17410,12/18/2013,EA,C/I,N,1,G,,,
MEGESTROL 40 MG TABLET,51079043520,0.17410,12/18/2013,EA,C/I,N,1,G,,,
MEGESTROL 40 MG TABLET,63739016510,0.17410,12/18/2013,EA,C/I,N,1,G,,,
MEGESTROL ACET 40 MG/ML SUSP,00054354258,0.06699,12/18/2013,ML,C/I,N,"1, 5",G,,,
MEGESTROL ACET 40 MG/ML SUSP,49884090738,0.06699,12/18/2013,ML,C/I,N,"1, 5",G,,,
MEGESTROL ACET 40 MG/ML SUSP,60432012608,0.06699,12/18/2013,ML,C/I,N,"1, 5",G,,,
MEGESTROL ACET 40 MG/ML SUSP,60505036801,0.06699,12/18/2013,ML,C/I,N,"1, 5",G,,,
MEGESTROL ACET 40 MG/ML SUSP,49884090761,0.07285,12/18/2013,ML,C/I,N,"1, 5",G,,,
MEGESTROL ACET 40 MG/ML SUSP,60432012616,0.07285,12/18/2013,ML,C/I,N,"1, 5",G,,,
MELOXICAM 15 MG TABLET,00093729901,0.02627,12/18/2013,EA,C/I,N,1,G,,,
MELOXICAM 15 MG TABLET,00378108901,0.02627,12/18/2013,EA,C/I,N,1,G,,,
MELOXICAM 15 MG TABLET,00378108905,0.02627,12/18/2013,EA,C/I,N,1,G,,,
MELOXICAM 15 MG TABLET,29300012501,0.02627,12/18/2013,EA,C/I,N,1,G,,,
MELOXICAM 15 MG TABLET,29300012510,0.02627,12/18/2013,EA,C/I,N,1,G,,,
MELOXICAM 15 MG TABLET,51079045901,0.02627,12/18/2013,EA,C/I,N,1,G,,,
MELOXICAM 15 MG TABLET,51079045920,0.02627,12/18/2013,EA,C/I,N,1,G,,,
MELOXICAM 15 MG TABLET,54458090902,0.02627,12/18/2013,EA,C/I,N,1,G,,,
MELOXICAM 15 MG TABLET,54458092305,0.02627,12/18/2013,EA,C/I,N,1,G,,,
MELOXICAM 15 MG TABLET,54458096410,0.02627,12/18/2013,EA,C/I,N,1,G,,,
MELOXICAM 15 MG TABLET,58517026030,0.02627,12/18/2013,EA,C/I,N,"1, 6",G,,,
MELOXICAM 15 MG TABLET,60505255401,0.02627,12/18/2013,EA,C/I,N,1,G,,,
MELOXICAM 15 MG TABLET,60505255408,0.02627,12/18/2013,EA,C/I,N,1,G,,,
MELOXICAM 15 MG TABLET,60505357901,0.02627,12/18/2013,EA,C/I,N,1,G,,,
MELOXICAM 15 MG TABLET,61442012701,0.02627,12/18/2013,EA,C/I,N,1,G,,,
MELOXICAM 15 MG TABLET,61442012710,0.02627,12/18/2013,EA,C/I,N,1,G,,,
MELOXICAM 15 MG TABLET,65862009801,0.02627,12/18/2013,EA,C/I,N,1,G,,,
MELOXICAM 15 MG TABLET,65862009805,0.02627,12/18/2013,EA,C/I,N,1,G,,,
MELOXICAM 15 MG TABLET,68180050201,0.02627,12/18/2013,EA,C/I,N,1,G,,,
MELOXICAM 15 MG TABLET,68180050203,0.02627,12/18/2013,EA,C/I,N,1,G,,,
MELOXICAM 15 MG TABLET,68382005101,0.02627,12/18/2013,EA,C/I,N,1,G,,,
MELOXICAM 15 MG TABLET,68382005105,0.02627,12/18/2013,EA,C/I,N,1,G,,,
MELOXICAM 15 MG TABLET,68462014101,0.02627,12/18/2013,EA,C/I,N,1,G,,,
MELOXICAM 7.5 MG TABLET,00093723401,0.02622,12/18/2013,EA,C/I,N,1,G,,,
MELOXICAM 7.5 MG TABLET,00378106601,0.02622,12/18/2013,EA,C/I,N,1,G,,,
MELOXICAM 7.5 MG TABLET,00378106605,0.02622,12/18/2013,EA,C/I,N,1,G,,,
MELOXICAM 7.5 MG TABLET,29300012401,0.02622,12/18/2013,EA,C/I,N,1,G,,,
MELOXICAM 7.5 MG TABLET,29300012410,0.02622,12/18/2013,EA,C/I,N,1,G,,,
MELOXICAM 7.5 MG TABLET,51079045701,0.02622,12/18/2013,EA,C/I,N,1,G,,,
MELOXICAM 7.5 MG TABLET,51079045720,0.02622,12/18/2013,EA,C/I,N,1,G,,,
MELOXICAM 7.5 MG TABLET,54458096510,0.02622,12/18/2013,EA,C/I,N,1,G,,,
MELOXICAM 7.5 MG TABLET,60505255301,0.02622,12/18/2013,EA,C/I,N,1,G,,,
MELOXICAM 7.5 MG TABLET,60505255308,0.02622,12/18/2013,EA,C/I,N,1,G,,,
MELOXICAM 7.5 MG TABLET,60505357801,0.02622,12/18/2013,EA,C/I,N,1,G,,,
MELOXICAM 7.5 MG TABLET,61442012601,0.02622,12/18/2013,EA,C/I,N,1,G,,,
MELOXICAM 7.5 MG TABLET,61442012610,0.02622,12/18/2013,EA,C/I,N,1,G,,,
MELOXICAM 7.5 MG TABLET,65862009701,0.02622,12/18/2013,EA,C/I,N,1,G,,,
MELOXICAM 7.5 MG TABLET,65862009705,0.02622,12/18/2013,EA,C/I,N,1,G,,,
MELOXICAM 7.5 MG TABLET,68180050101,0.02622,12/18/2013,EA,C/I,N,1,G,,,
MELOXICAM 7.5 MG TABLET,68180050103,0.02622,12/18/2013,EA,C/I,N,1,G,,,
MELOXICAM 7.5 MG TABLET,68382005001,0.02622,12/18/2013,EA,C/I,N,1,G,,,
MELOXICAM 7.5 MG TABLET,68382005005,0.02622,12/18/2013,EA,C/I,N,1,G,,,
MELOXICAM 7.5 MG TABLET,68462014001,0.02622,12/18/2013,EA,C/I,N,1,G,,,
MELOXICAM 7.5 MG/5 ML SUSP,00054022849,0.73565,11/21/2013,ML,C/I,N,"4, 5, 6",G,,,
MELPAQUE HP 4% CREAM,58980047310,0.59296,04/18/2013,GM,C/I,N,"4, 5",G,,,
MELQUIN HP 4% CREAM,58980047210,0.89087,12/18/2013,GM,C/I,N,"1, 5",G,,,
MENEST 0.3 MG TABLET,61570007201,0.84327,08/22/2013,EA,C/I,N,2,B-ANDA,,,
MENEST 0.625 MG TABLET,61570007301,1.19972,07/01/2013,EA,C/I,N,4,B-ANDA,,,
MENEST 1.25 MG TABLET,61570007401,1.69906,12/18/2013,EA,C/I,N,1,B-ANDA,,,
MENOSTAR 14 MCG/DAY PATCH,50419045504,24.74467,10/17/2013,EA,C/I,N,2,B,,,
MENTAX 1% CREAM,00378615149,5.15114,07/18/2013,GM,C/I,N,"2, 5",B,,,
MENTAX 1% CREAM,00378615146,5.18892,07/02/2013,GM,C/I,N,"4, 5",B,,,
MEPERIDINE 100 MG TABLET,00054459625,0.31464,12/18/2013,EA,C/I,N,1,G,,,
MEPERIDINE 100 MG TABLET,00555038202,0.31464,12/18/2013,EA,C/I,N,1,G,,,
MEPERIDINE 100 MG TABLET,42806005101,0.31464,12/18/2013,EA,C/I,N,1,G,,,
MEPERIDINE 100 MG/ML VIAL,00641605425,1.04816,07/18/2013,ML,C/I,N,"4, 5",G,,,
MEPERIDINE 50 MG TABLET,00054459525,0.17903,12/18/2013,EA,C/I,N,1,G,,,
MEPERIDINE 50 MG TABLET,00054859511,0.17903,12/18/2013,EA,C/I,N,1,G,,,
MEPERIDINE 50 MG TABLET,00555038102,0.17903,12/18/2013,EA,C/I,N,1,G,,,
MEPERIDINE 50 MG TABLET,00603441521,0.17903,12/18/2013,EA,C/I,N,1,G,,,
MEPERIDINE 50 MG TABLET,42806005001,0.17903,12/18/2013,EA,C/I,N,1,G,,,
MEPERIDINE 50 MG/5 ML SOLUTION,00054354563,0.11082,03/21/2013,ML,C/I,N,"4, 5",G,,,
MEPERITAB 100 MG TABLET,00603441621,0.31464,12/18/2013,EA,C/I,N,1,G,,,
MEPHYTON 5 MG TABLET,00187170405,15.18816,12/03/2013,EA,C/I,N,2,B,,,
MEPHYTON 5 MG TABLET,25010040515,15.18816,12/03/2013,EA,C/I,N,2,B,,,
MEPROBAMATE 200 MG TABLET,00591523901,1.16910,12/18/2013,EA,C/I,N,1,G,,,
MEPROBAMATE 200 MG TABLET,23155012801,1.16910,12/18/2013,EA,C/I,N,1,G,,,
MEPROBAMATE 200 MG TABLET,55111064001,1.16910,12/18/2013,EA,C/I,N,1,G,,,
MEPROBAMATE 400 MG TABLET,00591523801,2.76797,12/18/2013,EA,C/I,N,1,G,,,
MEPROBAMATE 400 MG TABLET,23155012901,2.76797,12/18/2013,EA,C/I,N,1,G,,,
MEPROBAMATE 400 MG TABLET,55111064101,2.76797,12/18/2013,EA,C/I,N,1,G,,,
MEPRON 750 MG/5 ML SUSPENSION,00173054700,5.34505,09/19/2013,ML,C/I,N,"2, 5",B,,,
MEPRON 750 MG/5 ML SUSPENSION,00173066518,5.34505,09/19/2013,ML,C/I,N,"2, 5",B,,,
MERCAPTOPURINE 50 MG TABLET,00054458111,0.92503,12/18/2013,EA,C/I,N,1,G,,,
MERCAPTOPURINE 50 MG TABLET,00054458127,0.92503,12/18/2013,EA,C/I,N,1,G,,,
MERCAPTOPURINE 50 MG TABLET,00093551006,0.92503,12/18/2013,EA,C/I,N,"1, 6",G,,,
MERCAPTOPURINE 50 MG TABLET,00378354725,0.92503,12/18/2013,EA,C/I,N,1,G,,,
MERCAPTOPURINE 50 MG TABLET,00378354752,0.92503,12/18/2013,EA,C/I,N,1,G,,,
MERCAPTOPURINE 50 MG TABLET,49884092202,0.92503,12/18/2013,EA,C/I,N,1,G,,,
MERCAPTOPURINE 50 MG TABLET,49884092204,0.92503,12/18/2013,EA,C/I,N,1,G,,,
MERCAPTOPURINE 50 MG TABLET,68084032521,0.92503,12/18/2013,EA,C/I,N,1,G,,,
MESALAMINE 4 GM/60 ML ENEMA,45802009828,0.18114,12/18/2013,ML,C/I,N,"1, 5",G,,,
MESALAMINE 4 GM/60 ML ENEMA,43386051087,0.20222,12/18/2013,ML,C/I,N,"1, 5, 6",G,,,
MESALAMINE 4 GM/60 ML ENEMA,45802009851,0.20222,12/18/2013,ML,C/I,N,"1, 5",G,,,
MESALAMINE 4 GM/60 ML KIT,45802092341,102.95500,12/18/2013,EA,C/I,N,1,G,,,
MESALAMINE 4 GM/60 ML KIT,45802092349,102.95500,12/18/2013,EA,C/I,N,1,G,,,
MESEHIST DM LIQUID,13811008516,0.05440,10/24/2013,ML,C/I,Y,"4, 5",G,,,
MESTINON 180 MG TIMESPAN,00187301330,6.12408,12/03/2013,EA,C/I,N,2,B,,,
MESTINON 60 MG TABLET,00187301030,3.20433,12/03/2013,EA,C/I,N,4,B,0.30067,12/18/2013,
MESTINON 60 MG/5 ML SYRUP,00187301220,0.54720,12/03/2013,ML,C/I,N,"4, 5",B,,,
METADATE CD 10 MG CAPSULE,53014057907,5.64570,04/18/2013,EA,C/I,N,2,B,3.55109,12/18/2013,
METADATE CD 20 MG CAPSULE,53014058007,5.59120,12/18/2013,EA,C/I,N,1,B,3.54770,12/18/2013,
METADATE CD 30 MG CAPSULE,53014058107,5.50167,12/18/2013,EA,C/I,N,1,B,3.54435,12/18/2013,
